Wavelength,Panchromatic,NIR1,Red,Green,Blue,Red Edge,Yellow,Coastal,NIR2
398,2.964E-07,2.017E-07,3.752E-07,2.104E-08,5.543E-07,6.963E-08,3.731E-08,1.240E-01,3.880E-08
399,2.897E-07,3.014E-07,7.349E-07,1.507E-08,7.808E-07,3.868E-08,1.903E-08,2.136E-01,3.885E-08
400,3.441E-07,4.061E-07,6.226E-07,4.508E-08,9.348E-07,5.503E-08,3.767E-09,3.051E-01,9.174E-08
401,3.859E-07,9.512E-07,3.992E-07,1.685E-08,9.471E-07,5.571E-08,4.572E-09,3.995E-01,6.871E-08
402,3.470E-07,2.689E-06,3.927E-07,1.197E-08,9.555E-07,5.739E-08,4.171E-08,4.672E-01,1.291E-08
403,3.604E-07,4.061E-06,2.035E-07,2.892E-08,1.247E-06,2.062E-08,9.512E-08,5.295E-01,4.490E-09
404,2.970E-07,2.785E-06,2.188E-07,2.754E-08,1.643E-06,2.433E-08,1.093E-07,5.575E-01,2.799E-07
405,3.800E-07,8.632E-07,5.243E-07,5.872E-08,2.066E-06,1.915E-08,1.030E-07,5.759E-01,4.504E-07
406,4.526E-07,2.813E-07,1.069E-06,3.870E-08,2.348E-06,1.275E-08,5.160E-08,5.903E-01,9.615E-08
407,6.321E-07,2.550E-07,1.275E-06,1.240E-08,2.500E-06,2.410E-09,1.309E-08,6.032E-01,7.731E-08
408,6.616E-07,2.445E-07,8.349E-07,4.041E-08,2.625E-06,9.842E-09,1.334E-09,6.205E-01,2.011E-08
409,7.431E-07,2.580E-07,8.923E-07,3.531E-08,2.873E-06,6.036E-08,4.414E-08,6.392E-01,2.558E-10
410,7.718E-07,2.537E-07,7.723E-07,2.264E-08,3.487E-06,2.531E-07,8.442E-08,6.488E-01,5.152E-11
411,8.147E-07,3.581E-07,6.399E-07,2.654E-08,4.119E-06,4.487E-07,2.705E-08,6.556E-01,8.161E-08
412,8.278E-07,3.624E-07,6.761E-07,6.930E-08,4.539E-06,3.396E-07,1.624E-08,6.685E-01,1.940E-08
413,9.634E-07,4.762E-07,4.915E-07,2.102E-08,4.770E-06,1.069E-07,8.944E-09,6.828E-01,5.401E-08
414,1.226E-06,1.172E-06,1.967E-07,5.183E-08,5.565E-06,2.620E-08,1.327E-09,6.976E-01,3.325E-08
415,1.682E-06,2.601E-06,2.246E-07,3.129E-08,7.136E-06,2.469E-08,3.765E-11,7.126E-01,5.357E-09
416,2.116E-06,2.834E-06,5.192E-07,4.540E-08,9.014E-06,9.154E-09,3.816E-11,7.271E-01,5.830E-11
417,2.270E-06,1.814E-06,6.001E-07,4.307E-08,1.088E-05,7.416E-09,3.865E-11,7.414E-01,5.878E-11
418,2.365E-06,8.280E-07,4.531E-07,3.336E-08,1.219E-05,7.545E-09,1.599E-09,7.548E-01,5.106E-08
419,2.527E-06,5.640E-07,8.733E-07,5.755E-08,1.367E-05,1.323E-09,1.936E-08,7.677E-01,5.776E-08
420,3.064E-06,5.322E-07,1.223E-06,3.848E-08,1.613E-05,3.227E-11,3.982E-09,7.785E-01,7.190E-08
421,4.066E-06,6.672E-07,1.099E-06,2.831E-08,2.031E-05,4.009E-08,4.139E-11,7.886E-01,4.048E-08
422,5.955E-06,1.429E-06,1.125E-06,5.104E-08,2.599E-05,2.809E-08,4.968E-10,7.970E-01,7.339E-09
423,8.238E-06,2.455E-06,1.919E-06,4.511E-08,3.151E-05,2.599E-08,1.320E-10,8.056E-01,1.742E-08
