Wavelength,L7B1Blue,L7B2Green,L7B3Red,L7B4NIR,L7B5NIR,L7B8Pan
627,0,0,0.137,0.000895,0,0.969078
628,0,0,0.211,0.00185,0,0.969583
629,0,0,0.306,0.003648,0,0.972297
630,0,0,0.419,0.007197,0,0.972906
631,0,0,0.545,0.014515,0,0.972708
632,0,0,0.674,0.030432,0,0.969732
633,0,0,0.788,0.066861,0,0.96578
634,0,0,0.873,0.148518,0,0.965561
635,0,0,0.921,0.299778,0,0.966835
636,0,0,0.941,0.526812,0,0.966641
637,0,0,0.943,0.764443,0,0.965899
638,0,0,0.942,0.905473,0,0.972067
639,0,0,0.939,0.947949,0,0.981077
640,0,0,0.937,0.950823,0,0.980971
641,0,0,0.935,0.947418,0,0.977722
642,0,0,0.935,0.951831,0,0.974405
643,0,0,0.938,0.962705,0,0.971123
644,0,0,0.943,0.975075,0,0.963139
645,0,0,0.949,0.984173,0,0.95326
646,0,0,0.953,0.983613,0,0.953494
647,0,0,0.961,0.983434,0,0.957536
648,0,0,0.968,0.982911,0,0.963851
649,0,0,0.971,0.973636,0,0.970928
650,0,0,0.973,0.959441,0,0.969453
651,0,0,0.974,0.955641,0,0.96475
652,0,0,0.972,0.955548,0,0.966541
653,0,0,0.969,0.953337,0,0.970613
654,0,0,0.963,0.956628,0,0.973941
655,0,0,0.958,0.981688,0,0.977055
656,0,0,0.956,1,0,0.982894
657,0,0,0.955,0.992388,0,0.98977
658,0,0,0.955,0.984615,0,0.988302
659,0,0,0.956,0.981568,0,0.983542
660,0,0,0.962,0.97696,0,0.987968
661,0,0,0.969,0.97298,0,0.995538
662,0,0,0.977,0.98108,0,0.998579
663,0,0,0.983,0.996804,0,1
664,0,0,0.988,0.992142,0,0.99981
665,0,0,0.993,0.980678,0,0.999061
666,0,0,0.996,0.964002,0,0.997891
667,0,0,0.997,0.962154,0,0.99658
668,0,0,0.999,0.970778,0,0.992555
669,0,0,1,0.96718,0,0.987369
670,0,0,1,0.966928,0,0.985862
671,0,0,0.998,0.949928,0,0.985761
672,0,0,0.996,0.848855,0,0.955679
673,0,0,0.995,0.609359,0,0.913945
674,0,0,0.993,0.31635,0,0.78014
675,0,0,0.992,0.123946,0,0.610197
676,0,0,0.991,0.046033,0,0.438556
677,0,0,0.989,0.017702,0,0.266714
678,0,0,0.988,0.007333,0,0.167313
679,0,0,0.984,0.003205,0,0.094013
680,0,0,0.977,0.001402,0,0.057564
681,0,0,0.97,0.000554,0,0.034787
682,0,0,0.96,0.000117,0,0.022882
683,0,0,0.949,0,0,0.015178
684,0,0,0.94,0,0,0.010755
685,0,0,0.932,0,0,0.007663
686,0,0,0.919,0,0,0.005756
687,0,0,0.898,0,0,0.004292
688,0,0,0.863,0,0,0.00322
689,0,0,0.809,0,0,0.002283
690,0,0,0.729,0,0,0.001545
691,0,0,0.625,0,0,0.000879
692,0,0,0.506,0,0,0.000214
693,0,0,0.382,0,0,0
694,0,0,0.272,0,0,0
695,0,0,0.183,0,0,0
696,0,0,0.12,0,0,0
697,0,0,0.079,0,0,0
698,0,0,0.053,0,0,0
699,0,0,0.036,0,0,0
700,0,0,0.025,0,0,0
701,0,0,0.0196,0,0,0
702,0,0,0.0142,0,0,0
703,0,0,0.0101,0,0,0
704,0,0,0.0075,0,0,0
705,0,0,0,0,0,0
706,0,0,0,0,0,0
707,0,0,0,0,0,0
708,0,0,0,0,0,0
709,0,0,0,0,0,0
710,0,0,0,0,0,0
711,0,0,0,0,0,0
712,0,0,0,0,0,0
713,0,0,0,0,0,0
714,0,0,0,0,0,0
715,0,0,0,0,0,0
716,0,0,0,0,0,0
717,0,0,0,0,0,0
718,0,0,0,0,0,0
719,0,0,0,0,0,0
720,0,0,0,0,0,0
721,0,0,0,0,0,0
722,0,0,0,0,0,0
723,0,0,0,0,0,0
724,0,0,0,0,0,0
725,0,0,0,0,0,0
726,0,0,0,0,0,0
727,0,0,0,0,0,0
728,0,0,0,0,0,0
729,0,0,0,0,0,0
730,0,0,0,0,0,0
731,0,0,0,0,0,0
732,0,0,0,0,0,0
733,0,0,0,0,0,0
734,0,0,0,0,0,0
735,0,0,0,0,0,0
736,0,0,0,0,0,0
737,0,0,0,0,0,0
738,0,0,0,0,0,0
739,0,0,0,0,0,0
740,0,0,0,0,0,0
741,0,0,0,0,0,0
742,0,0,0,0,0,0
743,0,0,0,0,0,0
744,0,0,0,0,0,0
745,0,0,0,0,0,0
746,0,0,0,0,0,0
747,0,0,0,0,0,0
748,0,0,0,0,0,0
749,0,0,0,0,0,0
750,0,0,0,0,0.001,0
