Wavelength,Pan,Green,Blue,Red,NIR,RedEdge,BlueCoastal
350,3.94106E-06,1.49642E-06,9.03888E-06,2.96805E-08,1.57547E-07,7.22223E-08,1.96421E-08
351,6.63899E-06,2.22138E-06,1.25016E-05,6.69309E-08,1.93022E-07,7.34621E-08,6.9791E-08
352,8.72284E-06,2.65856E-06,1.5515E-05,2.01179E-07,1.95379E-07,8.73052E-08,7.99682E-08
353,9.58839E-06,2.72733E-06,1.72045E-05,3.47792E-07,2.32167E-07,8.88013E-08,2.33894E-08
354,1.12516E-05,2.79763E-06,1.78502E-05,4.11903E-07,2.63463E-07,7.55624E-08,1.85337E-08
355,1.26219E-05,2.71683E-06,1.85247E-05,5.57181E-07,2.40493E-07,7.15827E-08,5.62396E-08
356,1.04138E-05,2.52074E-06,1.89073E-05,5.42749E-07,1.99545E-07,7.32386E-08,4.93436E-08
357,8.73739E-06,2.52014E-06,1.89284E-05,4.92747E-07,2.01398E-07,8.22465E-08,8.25131E-08
358,8.34961E-06,2.63382E-06,1.93442E-05,3.97193E-07,3.13972E-07,8.68315E-08,1.08645E-07
359,1.02064E-05,2.71992E-06,1.95333E-05,3.02579E-07,3.91087E-07,8.34176E-08,7.15108E-08
360,7.19003E-06,2.81119E-06,1.98099E-05,3.82664E-07,3.2498E-07,1.04097E-07,3.22731E-08
361,9.88544E-06,2.8323E-06,2.01358E-05,3.41262E-07,1.8086E-07,1.55633E-07,1.86412E-08
362,1.71501E-05,3.03113E-06,2.02122E-05,2.2661E-07,1.01956E-07,2.51446E-07,4.14575E-08
363,1.67288E-05,3.00756E-06,2.05882E-05,1.37711E-07,1.06942E-07,3.83094E-07,3.73901E-08
364,1.36954E-05,3.02768E-06,2.13173E-05,1.36688E-07,2.13432E-07,7.45836E-07,3.03463E-08
365,9.42957E-06,3.05357E-06,2.15584E-05,1.39084E-07,3.14737E-07,1.96602E-06,4.89898E-08
366,4.93836E-06,3.11316E-06,2.12865E-05,8.93383E-08,3.08909E-07,4.4636E-06,3.19095E-08
367,5.09804E-06,3.03904E-06,2.08552E-05,1.45737E-07,2.2569E-07,7.51992E-06,3.39491E-08
368,6.64523E-06,3.03186E-06,2.03393E-05,2.07367E-07,2.31673E-07,1.11356E-05,1.04986E-07
369,5.56406E-06,3.06136E-06,2.02201E-05,2.35981E-07,3.75857E-07,1.8795E-05,1.38552E-07
370,6.73202E-06,2.94185E-06,2.00691E-05,3.23513E-07,4.47283E-07,3.55841E-05,2.59198E-07
371,9.89866E-06,2.91398E-06,2.00168E-05,4.22398E-07,3.47106E-07,6.64232E-05,5.72074E-07
372,9.79073E-06,2.99579E-06,1.97383E-05,2.92497E-07,2.46513E-07,0.000113848,1.27445E-06
373,8.15481E-06,3.11316E-06,1.9778E-05,1.98565E-07,2.11429E-07,0.00017288,3.95194E-06
374,8.54644E-06,3.09669E-06,2.02931E-05,1.97248E-07,1.97701E-07,0.000232268,1.16289E-05
375,9.87589E-06,3.04256E-06,2.06288E-05,2.14735E-07,1.80909E-07,0.000294761,2.891E-05
376,8.25092E-06,3.07699E-06,2.07205E-05,1.88405E-07,1.80579E-07,0.000356846,6.14704E-05
377,9.62749E-06,2.96712E-06,2.07903E-05,1.83973E-07,2.03022E-07,0.000380942,0.00013809
