Wavelength,Panchromatic,NIR1,Red,Green,Blue,Red Edge,Yellow,Coastal,NIR2,SWIR1,SWIR2,SWIR3,SWIR4,SWIR5,SWIR6,SWIR7,SWIR8
388,1.353e-07,1.531e-07,3.895e-08,2.104e-08,8.179e-08,2.222e-08,1.202e-09,0.00014,1.033e-06,0,0,0,0,0,0,0,0
389,1.614e-07,2.137e-07,1.045e-08,2.7e-08,9.867e-08,2.732e-08,1.671e-11,0.0002271,8.84e-07,0,0,0,0,0,0,0,0
390,1.686e-07,3.9e-07,7.512e-08,3.001e-08,9.361e-08,2.616e-08,1.767e-11,0.000475,2.961e-07,0,0,0,0,0,0,0,0
391,2.292e-07,9.692e-07,1.379e-07,1.863e-08,9.084e-08,1.659e-08,1.864e-11,0.0008615,7.463e-07,0,0,0,0,0,0,0,0
392,1.394e-07,1.229e-06,9.423e-08,1.867e-08,1.191e-07,8.549e-09,1.947e-11,0.001464,7.026e-07,0,0,0,0,0,0,0,0
393,2.14e-07,9.545e-07,7.233e-08,2.952e-08,1.446e-07,2.861e-09,2.022e-11,0.00253,1.524e-07,0,0,0,0,0,0,0,0
394,2.415e-07,4.918e-07,8.332e-08,3.47e-08,1.311e-07,6.675e-08,2.115e-11,0.006736,1.564e-09,0,0,0,0,0,0,0,0
395,2.486e-07,2.145e-07,2.002e-07,3.956e-08,1.924e-07,2.18e-07,2.548e-08,0.01858,3.41e-11,0,0,0,0,0,0,0,0
396,2.803e-07,1.998e-07,2.195e-07,9.496e-09,2.655e-07,3.262e-07,6.224e-08,0.03462,1.833e-08,0,0,0,0,0,0,0,0
397,2.309e-07,2.005e-07,1.231e-07,9.942e-09,3.815e-07,1.941e-07,7.919e-08,0.05329,1.92e-08,0,0,0,0,0,0,0,0
398,2.964e-07,2.017e-07,3.752e-07,2.104e-08,5.543e-07,6.963e-08,3.731e-08,0.124,3.88e-08,0,0,0,0,0,0,0,0
399,2.897e-07,3.014e-07,7.349e-07,1.507e-08,7.808e-07,3.868e-08,1.903e-08,0.2136,3.885e-08,0,0,0,0,0,0,0,0
400,3.441e-07,4.061e-07,6.226e-07,4.508e-08,9.348e-07,5.503e-08,3.767e-09,0.3051,9.174e-08,0,0,0,0,0,0,0,0
401,3.859e-07,9.512e-07,3.992e-07,1.685e-08,9.471e-07,5.571e-08,4.572e-09,0.3995,6.871e-08,0,0,0,0,0,0,0,0
402,3.47e-07,2.689e-06,3.927e-07,1.197e-08,9.555e-07,5.739e-08,4.171e-08,0.4672,1.291e-08,0,0,0,0,0,0,0,0
403,3.604e-07,4.061e-06,2.035e-07,2.892e-08,1.247e-06,2.062e-08,9.512e-08,0.5295,4.49e-09,0,0,0,0,0,0,0,0
404,2.97e-07,2.785e-06,2.188e-07,2.754e-08,1.643e-06,2.433e-08,1.093e-07,0.5575,2.799e-07,0,0,0,0,0,0,0,0
405,3.8e-07,8.632e-07,5.243e-07,5.872e-08,2.066e-06,1.915e-08,1.03e-07,0.5759,4.504e-07,0,0,0,0,0,0,0,0
406,4.526e-07,2.813e-07,1.069e-06,3.87e-08,2.348e-06,1.275e-08,5.16e-08,0.5903,9.615e-08,0,0,0,0,0,0,0,0
407,6.321e-07,2.55e-07,1.275e-06,1.24e-08,2.5e-06,2.41e-09,1.309e-08,0.6032,7.731e-08,0,0,0,0,0,0,0,0
408,6.616e-07,2.445e-07,8.349e-07,4.041e-08,2.625e-06,9.842e-09,1.334e-09,0.6205,2.011e-08,0,0,0,0,0,0,0,0
409,7.431e-07,2.58e-07,8.923e-07,3.531e-08,2.873e-06,6.036e-08,4.414e-08,0.6392,2.558e-10,0,0,0,0,0,0,0,0
410,7.718e-07,2.537e-07,7.723e-07,2.264e-08,3.487e-06,2.531e-07,8.442e-08,0.6488,5.152e-11,0,0,0,0,0,0,0,0
411,8.147e-07,3.581e-07,6.399e-07,2.654e-08,4.119e-06,4.487e-07,2.705e-08,0.6556,8.161e-08,0,0,0,0,0,0,0,0
412,8.278e-07,3.624e-07,6.761e-07,6.93e-08,4.539e-06,3.396e-07,1.624e-08,0.6685,1.94e-08,0,0,0,0,0,0,0,0
413,9.634e-07,4.762e-07,4.915e-07,2.102e-08,4.77e-06,1.069e-07,8.944e-09,0.6828,5.401e-08,0,0,0,0,0,0,0,0
414,1.226e-06,1.172e-06,1.967e-07,5.183e-08,5.565e-06,2.62e-08,1.327e-09,0.6976,3.325e-08,0,0,0,0,0,0,0,0
415,1.682e-06,2.601e-06,2.246e-07,3.129e-08,7.136e-06,2.469e-08,3.765e-11,0.7126,5.357e-09,0,0,0,0,0,0,0,0
416,2.116e-06,2.834e-06,5.192e-07,4.54e-08,9.014e-06,9.154e-09,3.816e-11,0.7271,5.83e-11,0,0,0,0,0,0,0,0
417,2.27e-06,1.814e-06,6.001e-07,4.307e-08,1.088e-05,7.416e-09,3.865e-11,0.7414,5.878e-11,0,0,0,0,0,0,0,0
418,2.365e-06,8.28e-07,4.531e-07,3.336e-08,1.219e-05,7.545e-09,1.599e-09,0.7548,5.106e-08,0,0,0,0,0,0,0,0
419,2.527e-06,5.64e-07,8.733e-07,5.755e-08,1.367e-05,1.323e-09,1.936e-08,0.7677,5.776e-08,0,0,0,0,0,0,0,0
420,3.064e-06,5.322e-07,1.223e-06,3.848e-08,1.613e-05,3.227e-11,3.982e-09,0.7785,7.19e-08,0,0,0,0,0,0,0,0
421,4.066e-06,6.672e-07,1.099e-06,2.831e-08,2.031e-05,4.009e-08,4.139e-11,0.7886,4.048e-08,0,0,0,0,0,0,0,0
422,5.955e-06,1.429e-06,1.125e-06,5.104e-08,2.599e-05,2.809e-08,4.968e-10,0.797,7.339e-09,0,0,0,0,0,0,0,0
423,8.238e-06,2.455e-06,1.919e-06,4.511e-08,3.151e-05,2.599e-08,1.32e-10,0.8056,1.742e-08,0,0,0,0,0,0,0,0
424,1.049e-05,3.043e-06,2.653e-06,2.262e-08,3.72e-05,4.345e-08,3.057e-10,0.8171,3.378e-09,0,0,0,0,0,0,0,0
425,1.208e-05,2.361e-06,2.287e-06,4.713e-08,4.647e-05,8.627e-08,8.455e-09,0.8285,6.095e-11,0,0,0,0,0,0,0,0
426,1.294e-05,1.357e-06,1.243e-06,7.33e-08,6.427e-05,5.838e-08,6.42e-08,0.8408,2.027e-09,0,0,0,0,0,0,0,0
427,1.455e-05,7.564e-07,8.547e-07,3.39e-08,9.156e-05,4.591e-08,2.163e-07,0.8533,4.228e-10,0,0,0,0,0,0,0,0
428,1.876e-05,5.799e-07,8.249e-07,3.275e-08,0.0001239,1.94e-08,2.723e-07,0.8643,4.578e-08,0,0,0,0,0,0,0,0
429,2.784e-05,4.762e-07,7.387e-07,6.257e-08,0.0001557,1.795e-08,3.196e-07,0.8748,5.184e-08,0,0,0,0,0,0,0,0
430,4.435e-05,6.563e-07,4.069e-07,4.374e-08,0.0001869,9.756e-09,1.994e-07,0.8819,3.65e-08,0,0,0,0,0,0,0,0
431,6.799e-05,1.206e-06,4.131e-07,1.496e-08,0.0002243,2.071e-08,5.794e-08,0.8884,5.442e-08,0,0,0,0,0,0,0,0
432,9.485e-05,1.656e-06,3.255e-07,4.005e-08,0.0002872,1.013e-08,5.385e-09,0.8865,3.988e-07,0,0,0,0,0,0,0,0
433,0.0001189,1.23e-06,4.521e-07,4.849e-08,0.0003911,2.189e-08,4.005e-08,0.883,6.511e-07,0,0,0,0,0,0,0,0
434,0.0001404,6.707e-07,4.328e-07,4.44e-08,0.0005446,1.189e-08,6.473e-09,0.8883,3.684e-07,0,0,0,0,0,0,0,0
