Wavelength,Pan,Green,Blue,Red,NIR,RedEdge,BlueCoastal
406,1.25993E-05,7.14191E-05,7.30464E-05,4.62654E-06,2.94845E-05,0.000110731,0.279094031
407,1.8545E-05,0.000111531,7.82052E-05,4.46487E-06,4.23697E-05,0.000194086,0.29904946
408,3.22624E-05,0.000152483,8.28881E-05,5.28865E-06,5.75953E-05,0.000281059,0.321623985
409,5.382E-05,0.000196361,8.83458E-05,1.1791E-05,8.27213E-05,0.000306329,0.345752947
410,9.40701E-05,0.000295236,9.53707E-05,2.9225E-05,0.000124023,0.00023733,0.369391117
411,0.000132751,0.00060011,0.000102468,5.54892E-05,0.000177071,0.000140664,0.391953799
412,0.000154618,0.001470213,0.00010942,8.28531E-05,0.000239994,0.000101803,0.413131943
413,0.000172721,0.003594457,0.000117408,0.000111044,0.000303299,0.00015465,0.433793077
414,0.000179277,0.007557637,0.000126747,0.000162447,0.000329929,0.000256857,0.455305947
415,0.000186956,0.012235117,0.000136288,0.000293864,0.000314517,0.000324455,0.477671096
416,0.000226778,0.014418834,0.000143363,0.000537926,0.000326551,0.000288963,0.500525815
417,0.000296526,0.011815542,0.00014672,0.000804212,0.000398366,0.000182154,0.524046129
418,0.000421748,0.006454304,0.000148808,0.000960879,0.000453908,8.91648E-05,0.545474239
419,0.000664695,0.002157693,0.000155257,0.00092345,0.000452821,5.60578E-05,0.565789824
420,0.00110879,0.000433767,0.000171297,0.000666835,0.000419361,6.13744E-05,0.585564943
421,0.001762264,7.48272E-05,0.000200822,0.000319611,0.000361621,7.1267E-05,0.606328283
422,0.002538283,2.98128E-05,0.000241105,8.63066E-05,0.000277327,7.08364E-05,0.627976701
423,0.003335397,2.39689E-05,0.000281971,1.33971E-05,0.000204497,7.97714E-05,0.649358148
424,0.004067786,2.38316E-05,0.000312644,3.70477E-06,0.000182469,0.000141116,0.668490251
425,0.00479372,2.4419E-05,0.000337473,3.18963E-06,0.000219718,0.000274995,0.685244487
426,0.005835325,2.57105E-05,0.000360507,3.12905E-06,0.000271479,0.000425915,0.699559486
427,0.007817033,2.66375E-05,0.000374187,2.6572E-06,0.000305239,0.000503127,0.713908198
428,0.011909082,2.71895E-05,0.00037521,5.34435E-06,0.000315976,0.00045576,0.731098736
429,0.020172566,2.794E-05,0.000368037,1.53089E-05,0.000311349,0.000347127,0.751028864
430,0.035541246,2.77687E-05,0.000367313,3.30648E-05,0.000291838,0.000292512,0.770722265
431,0.060466712,2.83093E-05,0.00039377,5.24587E-05,0.000290609,0.000334681,0.78652157
432,0.094399631,2.89832E-05,0.000463924,6.77552E-05,0.000360414,0.000414183,0.797344288
433,0.13359565,2.89665E-05,0.000678334,7.68356E-05,0.000502531,0.000434817,0.808780867
434,0.173832539,2.85918E-05,0.001274008,6.90345E-05,0.00061751,0.00035718,0.825592862
435,0.213957412,2.88796E-05,0.002689779,5.49424E-05,0.000630518,0.000230608,0.846870728
436,0.255452912,2.95375E-05,0.005547927,4.21857E-05,0.000559995,0.000133466,0.866566807
437,0.298319195,3.03798E-05,0.011147739,2.88817E-05,0.000454174,9.34089E-05,0.881315665
438,0.336849431,3.15907E-05,0.021865779,1.43295E-05,0.000358487,8.67184E-05,0.891003821
439,0.364365302,3.25501E-05,0.04022317,4.84625E-06,0.000308121,8.38678E-05,0.900099124
